CPD_UNIT,STAR1,FIRST_NAME,LAST_NAME,MI,RANK
620,21148,MICHAEL,MADDEN,P,PO AS DETECTIVE
704,18267,THOMAS,BARKSDALE JR,J,POLICE OFFICER
016,17454,STEVE,LIARAKOS,,POLICE OFFICER
630,20014,LAURA,CARABALLO,M,PO AS DETECTIVE
630,21060,GAIL,CRUZ,,PO AS DETECTIVE
022,18807,KENNETH,MATLOB,S,PO/FIELD TRNING OFF
606,20239,LINDA,BECKER,J,PO AS DETECTIVE
001,503,DANIEL,BARTOLI,A,LIEUTENANT OF POLICE
015,41,JON,HEIN,P,CAPTAIN OF POLICE
610,20023,CARLOS,CORTEZ,,PO AS DETECTIVE
025,17819,LUIS,LOPEZ,,POLICE OFFICER
022,12402,JEFFERY,BROSSEAU,J,POLICE OFFICER
231,9331,TOMMY,BOUIE,D,POLICE OFFICER
384,18984,DENISE,BROWN,L,POLICE OFFICER
211,8136,CHUCK,TRENDLE,A,POLICE OFFICER
025,1733,MARK,FLECHSIG,E,SERGEANT OF POLICE
610,13770,RUSSELL,WHITE JR,E,POLICE OFFICER
045,19958,THOMAS,GAFFNEY,J,POLICE OFFICER
008,9005,DANIEL,CLARK,A,POLICE OFFICER
025,14865,FELIX,BATISTA,,POLICE OFFICER
050,13837,RICHARD,ZAWADA,A,POLICE OFFICER
020,19290,CRYSTAL,CARTER,M,POLICE OFFICER
603,20869,RONALD,DAY,L,PO AS DETECTIVE
014,2460,CHARLES,HALPERN,R,SERGEANT OF POLICE
620,20523,DONALD,YURISICH,M,PO AS DETECTIVE
604,21272,CHARLES,UDELL,G,PO AS DETECTIVE
024,310,WILLIAM,BRANNIGAN,J,LIEUTENANT OF POLICE
019,1045,DARRYL,CORTER,L,SERGEANT OF POLICE
018,12802,DOMNAILL,O KANE,O,POLICE OFFICER
019,17736,LEE,DURAN,I,POLICE OFFICER
442,21244,ANTONIO,ALLEN,W,EXPL TECH 1
051,17794,SHERIDA,SHEPHERD,J,PO (PER ARB AWARD)
353,11967,JOSEPH,FERENZI,M,POLICE OFFICER
007,198,LARRY,SNELLING,B,COMMANDER
051,8263,EDWARD,ROSALES,J,POLICE OFFICER
020,14585,CYNTHIA,WOODVILLE,S,POLICE OFFICER
261,2002,MIROSLAW,DOBEK,,SERGEANT OF POLICE
543,13587,JOHNNIE,BINION JR,R,POLICE OFFICER
